Virus,Animal,Section,Replicate,Positive,ATII
AAV5,1,1,1,1,1
AAV5,1,1,2,3,0
AAV5,1,1,3,0,0
AAV5,1,1,4,0,0
AAV5,1,2,1,0,0
AAV5,1,2,2,2,0
AAV5,1,2,3,1,0
AAV5,1,2,4,1,0
AAV5,2,1,1,2,2
AAV5,2,1,2,1,0
AAV5,2,1,3,0,0
AAV5,2,1,4,2,0
AAV5,2,2,1,1,0
AAV5,2,2,2,0,0
AAV5,2,2,3,1,0
AAV5,2,2,4,1,0
AAV5,3,1,1,1,0
AAV5,3,1,2,0,0
AAV5,3,1,3,1,0
AAV5,3,1,4,1,1
AAV5,3,2,1,0,0
AAV5,3,2,2,1,0
AAV5,3,2,3,0,0
AAV5,3,2,4,2,2
AAV5,4,1,1,0,0
AAV5,4,1,2,4,0
AAV5,4,1,3,1,0
AAV5,4,1,4,0,0
AAV5,4,2,1,0,0
AAV5,4,2,2,1,0
AAV5,4,2,3,0,0
AAV5,4,2,4,1,0
AAV5,5,1,1,0,0
AAV5,5,1,2,1,0
AAV5,5,1,3,1,1
AAV5,5,1,4,1,0
AAV5,5,2,1,0,0
AAV5,5,2,2,0,0
AAV5,5,2,3,0,0
AAV5,5,2,4,0,0
AAV5,6,1,1,0,0
AAV5,6,1,2,6,5
AAV5,6,1,3,0,0
AAV5,6,1,4,1,0
AAV5,6,2,1,0,0
AAV5,6,2,2,1,0
AAV5,6,2,3,0,0
AAV5,6,2,4,1,0
AAV9,1,1,1,2,0
AAV9,1,1,2,3,0
AAV9,1,1,3,3,0
AAV9,1,1,4,3,1
AAV9,1,2,1,3,1
AAV9,1,2,2,4,1
AAV9,1,2,3,7,1
AAV9,1,2,4,0,0
AAV9,2,1,1,4,1
AAV9,2,1,2,1,1
AAV9,2,1,3,2,0
AAV9,2,1,4,3,1
AAV9,2,2,1,0,0
AAV9,2,2,2,2,1
AAV9,2,2,3,3,1
AAV9,2,2,4,0,0
AAV9,3,1,1,0,0
AAV9,3,1,2,3,1
AAV9,3,1,3,0,0
AAV9,3,1,4,2,1
AAV9,3,2,1,6,2
AAV9,3,2,2,1,0
AAV9,3,2,3,1,0
AAV9,3,2,4,2,1
AAV9,4,1,1,3,2
AAV9,4,1,2,3,0
AAV9,4,1,3,3,2
AAV9,4,1,4,5,3
AAV9,4,2,1,3,1
AAV9,4,2,2,1,0
AAV9,4,2,3,0,0
AAV9,4,2,4,2,0
AAV9,5,1,1,3,1
AAV9,5,1,2,2,1
AAV9,5,1,3,2,1
AAV9,5,1,4,3,0
AAV9,5,2,1,2,1
AAV9,5,2,2,5,2
AAV9,5,2,3,3,0
AAV9,5,2,4,2,0
AAV9,6,1,1,1,1
AAV9,6,1,2,1,0
AAV9,6,1,3,4,2
AAV9,6,1,4,3,0
AAV9,6,2,1,1,0
AAV9,6,2,2,1,1
AAV9,6,2,3,6,2
AAV9,6,2,4,2,1
AAV.CAP-A4,1,1,1,81,55
AAV.CAP-A4,1,1,2,63,30
AAV.CAP-A4,1,1,3,73,54
AAV.CAP-A4,1,1,4,68,22
AAV.CAP-A4,1,2,1,66,19
AAV.CAP-A4,1,2,2,57,24
AAV.CAP-A4,1,2,3,81,41
AAV.CAP-A4,1,2,4,51,11
AAV.CAP-A4,2,1,1,61,22
AAV.CAP-A4,2,1,2,65,28
AAV.CAP-A4,2,1,3,74,21
AAV.CAP-A4,2,1,4,65,21
AAV.CAP-A4,2,2,1,39,12
AAV.CAP-A4,2,2,2,51,30
AAV.CAP-A4,2,2,3,62,21
AAV.CAP-A4,2,2,4,82,27
AAV.CAP-A4,3,1,1,29,20
AAV.CAP-A4,3,1,2,54,16
AAV.CAP-A4,3,1,3,39,20
AAV.CAP-A4,3,1,4,59,34
AAV.CAP-A4,3,2,1,54,31
AAV.CAP-A4,3,2,2,68,29
AAV.CAP-A4,3,2,3,60,29
AAV.CAP-A4,3,2,4,75,26
AAV.CAP-A4,4,1,1,59,23
AAV.CAP-A4,4,1,2,45,24
AAV.CAP-A4,4,1,3,56,22
AAV.CAP-A4,4,1,4,50,18
AAV.CAP-A4,4,2,1,55,19
AAV.CAP-A4,4,2,2,41,19
AAV.CAP-A4,4,2,3,48,10
AAV.CAP-A4,4,2,4,38,10
AAV.CAP-A4,5,1,1,122,18
AAV.CAP-A4,5,1,2,192,28
AAV.CAP-A4,5,1,3,136,11
AAV.CAP-A4,5,1,4,130,6
AAV.CAP-A4,5,2,1,150,7
AAV.CAP-A4,5,2,2,150,8
AAV.CAP-A4,5,2,3,138,7
AAV.CAP-A4,5,2,4,139,12
AAV.CAP-A4,6,1,1,80,47
AAV.CAP-A4,6,1,2,55,27
AAV.CAP-A4,6,1,3,56,37
AAV.CAP-A4,6,1,4,78,46
AAV.CAP-A4,6,2,1,70,18
AAV.CAP-A4,6,2,2,74,37
AAV.CAP-A4,6,2,3,65,21
AAV.CAP-A4,6,2,4,49,24
